verb,sentence
предотвратить,"Сейчас в связи с уходом Гайдара говорят и о том, что его реформы предотвратили гражданскую войну."
предотвратить,"И самое главное ― сотрудники налоговой полиции предотвратили многомиллионный урон, который мог быть нанесен экономике республики."
предотвратить,Но сотрудники милиции вовремя обнаружили взрывное устройство и предотвратили теракт.
предотвратить,Столыпин в свое время предотвратил реальную угрозу такой войны.
предотвратить,Энергичным маневром переяславльский князь Ярополк предотвратил разгром торков и вынудил половцев уйти в Посулье.
предотвратить,Но будьте уверены: ваша миссия предотвратила очень неблагоприятное развитие событий.
предотвратить,"Этот якорь, будучи привязан к общей веревке, действительно предотвратит бессмысленное всплывание, решил Обнаг."
предотвратить,На днях моряки с «Окрыленного» охраняли доки и предотвратили довольно подозрительную попытку поджечь верфь.
воодушевить,"Призывы Папы Римского и проповедников, поддержанные монархами, воодушевили солдат, и уже очень скоро крестоносцы прибыли в Азию."
воодушевить,Успех премьеры воодушевил Меддокса и Урусова еще сильней.
воодушевить,"Этот, казалось бы, безрассудный поступок генерала воодушевил солдат настолько, что полк тотчас поднялся в атаку и опрокинул неприятеля."
воодушевить,"Опасаюсь только, что пока этого не произошло, безнаказанность одних воодушевит других."
воодушевить,"Успех Винкельхока воодушевил руководство BMW, и в Мюнхене решили поддержать земляков своим сверхмощным мотором."
воодушевить,"Мирный тон воодушевил Карбаса, и, промокнув салфеткой яркие губы, он сказал как бы с новыми силами:"
воодушевить,"Что это, как это, я еще толком не представлял, но меня воодушевила возможность остаться в институте."
воодушевить,Последнее обстоятельство воодушевило человека в шапочке еще больше.
воодушевить,"Можно было полагать, что такой прием воодушевит Хрущева."
воодушевить,Прибытие Ермолова в район мятежа воодушевило правительственные войска и помогло им одержать победу.
воодушевить,"― Все природа изобрела, ― отвечал он совершенно вразумительно, ― а Бог воодушевил, нам только пользоваться."
воодушевить,"―  Вы неправы, реформа поднимет дух народа, а народ воодушевит войска…"
воодушевить,"Но старушку, кажется, даже воодушевил мой смех."
воодушевить,"Перспектива обогреться и, быть может, получить миску горячей баланды воодушевила даже самых «доходных»."
воодушевить,После комсомольского бюро Борисова воодушевила идея поэтизации будничного труда.
воодушевить,Этот пример воодушевил сотни сталеваров металлургических заводов.
воодушевить,"Тебя там знают казаки, твое слово их воодушевит."
воодушевить,Приезд Ворошилова и Буденного необычайно воодушевил бойцов.
воодушевить,Невиданный иностранный способ приветствия еще более воодушевил зрителей
воодушевить,"Наконец смертельная тоска, рожденная безумной надеждой, воодушевила его."
воодушевить,"Ночной поход, кончившийся, как будто, удачей, воодушевил барсуков."
воодушевить,Как бы этот пример не воодушевил на подобное же.
изобличить,Потом одного за другим двух депутатов изобличили во взятках
изобличить,Изобличили мошенника две монахини и настоятель одного из местных монастырей: они увидели в вагоне незнакомого инока и решили проследить за ним.
изобличить,"Сделано это было грубо и впопыхах, потому служба собственной безопасности изобличила преступников в погонах."
изобличить,"Далее все было в лучших советских традициях: Берию «изобличили, как английского шпиона», осудили на закрытом судебном заседании и расстреляли."
изобличить,Поэтому текст его свитка гласит: «Приидет Господь во тьмах и изобличит всякое неправедное…»
изобличить,Поэтому мой царь изобличит вашего фальшивого китайца.
изобличить,"Стрелялись через буханку хлеба, чтобы копоть от близкого выстрела не изобличила членовредительства."
изобличить,"В другой столбики цифр изобличили любителя спиртного, который наносил семейному бюджету большой урон."
изобличить,"Тебя ж уличат домочадцы, Друзья тебя изобличат: Расскажут правдивую повесть"
изобличить,"Сон изобличил их, заострив носы, провалив щеки, обнажив провалы ртов."
изобличить,"Никаких подозрений конечно нет, потому что ясно и ребенку: ― партия изобличила провокатора, оставив его на свободе."
изобличить,"И изобличит господь сильные народы, даже до земли дальней."
изобличить,"Строгий анализ легко изобличил отсталое чувство, и оно уступило разуму «поле сражения»."
изобличить,"Революция изобличила ложность идеологии, которой жила интеллигенция"
изобличить,"Кровавый плащ изобличит тебя: Эгисфа меч оставил след на ткани, И бурое, старинное пятно Поныне блеск порфиры разрушает."
изобличить,Революция и особенно подавление ее изобличило отсутствие веры в христианство.
изобличить,Всякая попытка иначе толковать смысл речей Лира изобличит в критике лишь неуменье постичь и оценить сущность шекспировского творчества.
изобличить,Следующее его рассуждение еще яснее изобличит безумное его желание первенствовать над всеми человеками.
изобличить,"Здесь Христос Иудеев не изобличил в том, будто бы они не так Его слова толковали."
изобличить,"― говорила Кити, чувствуя, что она выдала свою тайну и что лицо ее, горящее румянцем стыда, уже изобличило ее"
изобличить,"Ты вот про пансион разозлилась; а помнишь, как ты приехала и весь класс уверила, что за тебя гусар Шаблыкин посватался, и как madame Lefebvre тебя тут же изобличила во лжи."
развить,"Оставаясь на свободе и продолжая выполнять свои обязанности, Рыков развил бурную деятельность."
развить,Дальше эволюционную генную идею на молекулярной основе развил Колюша.
развить,В этот период безвременья лихорадочную деятельность развил поручик Кошкуль 2-й.
развить,"Эту, революционную, сторону философии Гегеля воспринял и развил Маркс."
развить,"Вообще буйское купечество, крестьянство и мещанство в начале прошлого века развило бурную деятельность."
развить,Обезьяны развили способность охватывать глазом как можно большую территорию и вовремя замечать змею в лесной чаще.
развить,Подробнее эту мою идею развил антрополог K. Л. Банников в книге «Антропология экстремальных групп».
развить,"Регина опять развила бурную деятельность, и вечером следующего дня они стояли на вокзале."
развить,"Но, к сожалению, эту тему издатели не развили."
развить,"Эту идею развили Джон Бардин, Леон Купер и Дж."
развить,Затем его развил советский (российский) специалист С. В. Никитин.
развить,"Этот великий математик развил математический анализ в том виде, в каком мы его сейчас знаем, который и поныне служит надежным инструментом физиков и инженеров."
развить,"Уж слишком забеспокоился Манчини, развил бешеную деятельность, обратился в полицию!"
развить,"С математикой у неё всегда было плохо, а склонность к чтению и романтизм развили ненужную тревожность."
развить,Именно академические туристы развили искусство «академического флирта» до немыслимых высот.
развить,"Став обер-егермейстером, Волынский развил кипучую деятельность и в новом ведомстве."
развить,"Это могло означать большую скорость, которую развила эта штуковина, но неужели такая скорость может быть под водой?"
развить,В 1996 году Хантингтон развил эти идеи в книге «Столкновение цивилизаций и переосмысление мирового порядка».
развить,"Каттелан развил скорость 50 узлов, то есть 92, 6 километра в час."
развить,"Танк развил всю скорость, на какую был только способен."
развить,"Но совсем иные возможности выживания появились, когда человек начал глубоко изучать устройство мира, развил науки."
развиваться,"Есть и другие направления, которые активно развиваются: это транспортное сотрудничество, сотрудничество в области авиастроения, в сфере высоких технологий."
развиваться,"Данный проект развивается из основанного на Debian дистрибутива, который Xandros приобрела в августе 2001 года у корпорации Corel."
развиваться,В последние годы система развивалась очень быстро.
развиваться,"Можно сказать, что агентская сеть WU развивается вместе с мировой инфраструктурой."
развиваться,"Говорят, память человека развивается только до 30-ти лет."
развиваться,"Экономика Китая развивается не по дням, а по часам на глазах у всего мира."
развиваться,"Они помогли нам, пусть очень схематично, понять, как развивалось зрение, как рождались всё новые его органы."
развиваться,"Если он имеет дефект, глаз не развивается вовсе или остаётся в зачаточном виде."
развиваться,Цоизит развивается по плагиоклазу исходных магматических пород.
развиваться,"Малый бизнес развивается, кормит себя и - создаёт рабочие места."
развиваться,"Но нам никто такого шанса не даст, потому что мировая экономика развивается очень быстро."
развиваться,К концу первого года жизни у растений развивается розетка листьев.
развиваться,Воспалительный процесс в стенках коронарных сосудов развивается без участия вирусов и бактерий.
развиваться,― Как развиваются события после оглашения вердикта присяжных?
развиваться,Неуклонно развивается народное эстрадное творчество горного края республики.
развиваться,"В России гольф развивается такими темпами, что скоро, пожалуй, и у нас появится свой Тайгер Вудс."
развиваться,"― Наша система интернет-трейдинга динамично развивается, мы предлагаем две-три новых услуги в месяц."
развиваться,Все эти проекты развиваются в рамках мультипортала KM. ru.
развиваться,А роковой сюжет тем временем неуклонно развивался.
развиваться,"События развивались совсем не в том ритме, что в кабинете усатого."
развиваться,А рядом развивалась и набирала уверенности жизнь второй семьи.
развиваться,"И представьте ― компания развивается, а её акции не растут."
постичь,Мы не постигнем тайны бытия вне опыта законченной игры.
почить,С тех пор многие предприятия почили в бозе или перешли под крыло международных холдингов.
почить,"«И совершил Бог к седьмому дню дела Свои, которые Он делал, и почил в день седьмый от всех дел Своих, которые делал» (Быт 2, 2)."
почить,"Из Бари, где почиют мощи Николая Мирликийского, Варлаам принес на Русь чудотворный образ святителя."
почить,"Едва Антонин Великий почил, на империю со всех концов ринулись варвары."
почить,"По моим сведениям, фрау Дитер фон Рабенауэр благополучно почила в бозе."
почить,"Первый игумен Махрищекий дожил до глубокой старости и почил в 1406 году, предузнав день своей кончины."
почить,"Качаясь, лебедь на волне Заснул, и все вокруг почило"
почить,"К тому времени Виктория Аароновна с честью почила, и ее комната милостиво отошла Мишиному семейству."
почить,"Почил старец, по преданию, за две недели до Петрова дня. "
почить,"Дубинский отнюдь не «почил на лаврах», как это нередко бывает с теми, кто быстро добился успеха."
почить,"Вожди не вняли доказательствам и благополучно почили в бозе, не дождавшись падения системы."
почить,А розовая ее записка утонула и почила во внутреннем кармане выходного пиджака.
почить,"У всех отцы как отцы, на поле брани погибают, а мой бескровно почил в мирной постели."
почить,"Но иным открывается тайна, И почиет на них тишина…"
почить,"Я догадался, что командиры отпраздновали невероятно быстрое окончание строительства моста доброй чарочкой и теперь почили на лаврах."
почить,"И дух Господень почиет на Нем, дух Премудрости и дух Разума 13."
почить,"Плеть сломалась раньше духа, и Акакий в бозе почил."
почить,"Пафос истории почиет не на тех, кто спокоен в знании истины, кто самодоволен и сыт."
почить,"Иные, обладая даром, сотворят немного и почиют на плодах своего труда, сытно кормясь и пожиная."
почить,"«Дремлю и за дремотой ― тайна, и в тайне ты почиешь, Русь»."
почить,"Замучен тяжелой неволей, Ты славною смертью почил…"
